"Date","Open","High","Low","Close","Shares Traded","Turnover (Rs. Cr)"
"01-Jan-2018","    10531.70","    10537.85","    10423.10","    10435.55","      134532090","         7546.56"
"02-Jan-2018","    10477.55","    10495.20","    10404.65","    10442.20","      158092430","         8665.47"
"03-Jan-2018","    10482.65","    10503.60","    10429.55","    10443.20","      172516859","         9541.60"
"04-Jan-2018","    10469.40","    10513.00","    10441.45","    10504.80","      180257392","         9561.95"
"05-Jan-2018","    10534.25","    10566.10","    10520.10","    10558.85","      186469717","        10306.22"
"08-Jan-2018","    10591.70","    10631.20","    10588.55","    10623.60","      174181231","         9907.27"
"09-Jan-2018","    10645.10","    10659.15","    10603.60","    10637.00","      211291563","        10733.37"
"10-Jan-2018","    10652.05","    10655.50","    10592.70","    10632.20","      181900014","         9720.65"
"11-Jan-2018","    10637.05","    10664.60","    10612.35","    10651.20","      158630055","         9635.01"
"12-Jan-2018","    10682.55","    10690.40","    10597.10","    10681.25","      180592153","        11005.12"
"15-Jan-2018","    10718.50","    10782.65","    10713.80","    10741.55","      181262074","        11333.11"
"16-Jan-2018","    10761.50","    10762.35","    10687.85","    10700.45","      217468081","        12709.44"
"17-Jan-2018","    10702.45","    10803.00","    10666.75","    10788.55","      260488465","        14334.26"
"18-Jan-2018","    10873.40","    10887.50","    10782.40","    10817.00","      321609375","        17930.30"
"19-Jan-2018","    10829.20","    10906.85","    10793.90","    10894.70","      214011963","        11792.26"
"22-Jan-2018","    10883.20","    10975.10","    10881.40","    10966.20","      238815813","        14469.06"
"23-Jan-2018","    10997.40","    11092.90","    10994.55","    11083.70","      293445774","        16423.91"
"24-Jan-2018","    11069.35","    11110.10","    11046.15","    11086.00","      292197072","        16915.14"
"25-Jan-2018","    11095.60","    11095.60","    11009.20","    11069.65","      340469462","        19939.54"
"29-Jan-2018","    11079.35","    11171.55","    11075.95","    11130.40","      249220726","        16118.36"
"30-Jan-2018","    11120.85","    11121.10","    11033.90","    11049.65","      234969503","        13232.19"
"31-Jan-2018","    11018.80","    11058.50","    10979.30","    11027.70","      253462573","        14459.69"
"01-Feb-2018","    11044.55","    11117.35","    10878.80","    11016.90","      315743486","        17719.40"
"02-Feb-2018","    10938.20","    10954.95","    10736.10","    10760.60","      291431992","        16542.51"
"05-Feb-2018","    10604.30","    10702.75","    10586.80","    10666.55","      247479157","        13980.63"
"06-Feb-2018","    10295.15","    10594.15","    10276.30","    10498.25","      274656443","        15606.34"
"07-Feb-2018","    10607.20","    10614.00","    10446.40","    10476.70","      258095424","        13971.66"
"08-Feb-2018","    10518.50","    10637.80","    10479.55","    10576.85","      239407938","        12569.23"
"09-Feb-2018","    10416.50","    10480.20","    10398.20","    10454.95","      197502912","        10602.15"
"12-Feb-2018","    10518.20","    10555.50","    10485.40","    10539.75","      224114801","        11133.78"
"14-Feb-2018","    10585.75","    10590.55","    10456.65","    10500.90","      236329440","        12188.94"
"15-Feb-2018","    10537.90","    10618.10","    10511.05","    10545.50","      217090245","        11035.38"
"16-Feb-2018","    10596.20","    10612.90","    10434.05","    10452.30","      190043189","        10026.71"
"19-Feb-2018","    10488.90","    10489.35","    10302.75","    10378.40","      193087737","         9871.36"
"20-Feb-2018","    10391.00","    10429.35","    10347.65","    10360.40","      193464871","         9619.95"
"21-Feb-2018","    10426.00","    10426.10","    10349.60","    10397.45","      241331542","        12996.36"
"22-Feb-2018","    10354.35","    10397.55","    10340.65","    10382.70","      323259078","        17711.46"
"23-Feb-2018","    10408.10","    10499.10","    10396.65","    10491.05","      217134363","        12704.32"
"26-Feb-2018","    10526.55","    10592.95","    10520.20","    10582.60","      177238616","        10274.89"
"27-Feb-2018","    10615.20","    10631.65","    10537.25","    10554.30","      193250158","        10276.42"
"28-Feb-2018","    10488.95","    10535.50","    10461.55","    10492.85","      294794221","        16299.11"
"01-Mar-2018","    10479.95","    10525.50","    10447.15","    10458.35","      181378504","        10179.48"
"05-Mar-2018","    10428.30","    10428.70","    10323.90","    10358.85","      199975720","        10673.92"
"06-Mar-2018","    10420.50","    10441.35","    10215.90","    10249.25","      229782297","        12143.95"
"07-Mar-2018","    10232.95","    10243.35","    10141.55","    10154.20","      257200599","        12128.88"
"08-Mar-2018","    10216.25","    10270.35","    10146.40","    10242.65","      233377712","        11479.51"
"09-Mar-2018","    10271.30","    10296.70","    10211.90","    10226.85","      192333334","         9874.81"
"12-Mar-2018","    10301.60","    10433.65","    10295.45","    10421.40","      223135459","        10968.95"
"13-Mar-2018","    10389.50","    10478.60","    10377.85","    10426.85","      274852794","        23965.25"
"14-Mar-2018","    10393.05","    10420.35","    10336.30","    10410.90","      186991169","         9564.68"
"15-Mar-2018","    10405.45","    10420.00","    10346.20","    10360.15","      179308593","         8588.01"
"16-Mar-2018","    10345.15","    10346.30","    10180.25","    10195.15","      338702439","        18811.97"
"19-Mar-2018","    10215.35","    10224.55","    10075.30","    10094.25","      216670033","        11111.43"
"20-Mar-2018","    10051.55","    10155.65","    10049.10","    10124.35","      209327593","        10947.12"
"21-Mar-2018","    10181.95","    10227.30","    10132.95","    10155.25","      211060429","        11269.73"
"22-Mar-2018","    10167.50","    10207.85","    10105.40","    10114.75","      237632983","        11558.88"
"23-Mar-2018","     9968.80","    10027.70","     9951.90","     9998.05","      294515154","        14435.17"
"26-Mar-2018","     9989.15","    10143.50","     9958.55","    10130.65","      270665332","        12695.47"
"27-Mar-2018","    10188.00","    10207.90","    10139.65","    10184.15","      232713976","        11175.79"
"28-Mar-2018","    10143.60","    10158.35","    10096.90","    10113.70","      354977198","        18807.48"
